Rank,Name,Median_score,Cooperation_rating,Wins,Initial_C_rate,CC_rate,CD_rate,DC_rate,DD_rate,CC_to_C_rate,CD_to_C_rate,DC_to_C_rate,DD_to_C_rate
68,Once Bitten,2.65581589958159,0.807397489539749,33.0,1.0,0.7567029288702929,0.05069456066945607,0.047748953974895404,0.14485355648535564,1.0,0.7375512030180674,0.09844504599699574,0.06306313724957749
69,Resurrection,2.6556485355648536,0.7818075313807531,11.0,1.0,0.7148953974895397,0.0669121338912134,0.0725020920502092,0.14569037656903766,1.0,0,0.9236211433397878,0
70,Adaptive Tit For Tat: 0.5,2.6531380753138074,0.8019916317991632,0.0,1.0,0.732,0.06999163179916319,0.06505439330543933,0.13295397489539748,1.0,0,1.0,0
71,Meta Majority: 217 players,2.652468619246862,0.7776736401673641,25.0,1.0,0.725071129707113,0.05260251046025105,0.06289539748953975,0.15943096234309623,1.0,0.03255281281019591,0.8468597390114793,0
72,Forgiving Tit For Tat,2.65163179916318,0.8064267782426778,0.0,1.0,0.7362510460251046,0.07017573221757321,0.061907949790794975,0.1316652719665272,1.0,0.485006004844326,1.0,0
73,Tit For Tat,2.6515481171548116,0.7990794979079497,0.0,1.0,0.7291213389121338,0.0699581589958159,0.06493723849372385,0.13598326359832635,1.0,0,1.0,0
74,Soft Grudger,2.6510460251046024,0.815581589958159,35.0,1.0,0.7373389121338911,0.07824267782426778,0.06363179916317992,0.12078661087866108,1.0,0.44479175882429406,0.3140714738736409,0.3215906965206658
75,Adaptive Pavlov 2006,2.6507112970711297,0.7323682008368201,56.0,1.0,0.697673640167364,0.034694560669456066,0.07255230125523013,0.1950794979079498,0.9804929916108691,0.24984791688872182,0.5519995004533772,0.11989210598901684
76,Contrite Tit For Tat,2.6488702928870294,0.7989288702928871,0.0,1.0,0.7294058577405858,0.06952301255230126,0.06446861924686192,0.13660251046025107,1.0,0,1.0,0
77,Adaptive Pavlov 2011,2.647866108786611,0.754928870292887,51.0,1.0,0.7153807531380754,0.03954811715481171,0.06309623430962343,0.18197489539748954,0.9838725717469304,0.35241282854938816,0.5982480218557499,0.050831784216758165
78,First by Graaskamp: 0.05,2.6474476987447697,0.7988786610878661,0.0,1.0,0.7282008368200836,0.07067782426778242,0.06565690376569037,0.13546443514644352,1.0,0,1.0,0
79,"Limited Retaliate: 0.1, 20",2.642510460251046,0.6560167364016737,68.0,1.0,0.6309623430962343,0.025054393305439328,0.10174058577405858,0.24224267782426778,0.9958322912934502,0,0.08468644074993538,0.04464746415301759
80,Retaliate: 0.1,2.641506276150628,0.6472635983263598,77.0,1.0,0.6312803347280335,0.015983263598326358,0.0989121338912134,0.2538242677824268,1.0,0,0.08424861312241262,0
81,Meta Majority Finite Memory: 81 players,2.640334728033473,0.789673640167364,20.0,1.0,0.7240334728033473,0.06564016736401673,0.06470292887029289,0.1456234309623431,0.9999604868025921,0.14405170603247255,0.8912263143863863,1.0
82,Forgetful Grudger,2.6371548117154813,0.6587782426778243,74.0,1.0,0.6428953974895397,0.015882845188284523,0.09213389121338914,0.24908786610878664,1.0,0,0.10464810284947555,0
83,Second by Getzler,2.6364016736401674,0.808836820083682,15.0,1.0,0.7539414225941423,0.05489539748953975,0.043715481171548116,0.14744769874476987,0.9697086159962233,0.38366003031958645,0.7366045332396578,0.1439413210574555
84,Doubler,2.6349790794979078,0.8291046025104603,0.0,1.0,0.7557322175732217,0.0733723849372385,0.05014225941422594,0.1207531380753138,1.0,0.6698975572742962,1.0,0
85,GTFT: 0.33,2.6339748953974893,0.8915146443514644,0.0,1.0,0.7966025104602511,0.09491213389121339,0.034460251046025105,0.07402510460251047,1.0,0.35799218892902235,1.0,0.3826026528800539
86,"Stalker: (D,)",2.633389121338912,0.8409874476987448,143.0,1.0,0.7702928870292887,0.07069456066945606,0.04185774058577406,0.11715481171548117,0.9704913317811336,0.6274836247612997,0.8038401720908622,0.17065957864496545
87,Second by Harrington,2.633221757322176,0.8019581589958159,83.0,1.0,0.7045188284518829,0.09743933054393306,0.08036820083682007,0.11767364016736401,0.9609087868240066,0.47731861160357175,0.971107706640052,0.30475446632569814
88,Second by WmAdams,2.630460251046025,0.8403012552301256,8.0,1.0,0.7645690376569038,0.07573221757322177,0.044769874476987444,0.11492887029288702,1.0,0.6159687704388684,0.6693852080991335,0.41493196874073945
89,GrudgerAlternator,2.6285355648535567,0.8022092050209205,35.0,1.0,0.668652719665272,0.13355648535564854,0.10738075313807532,0.09041004184100418,0.842746132218737,0,1.0,1.0
90,Punisher,2.6282845188284516,0.6618577405857741,73.0,1.0,0.6412217573221758,0.020635983263598327,0.09072803347280335,0.2474142259414226,1.0,0,0.20683667405609465,0
91,Soft Go By Majority: 5,2.6276987447698743,0.8145774058577406,14.0,1.0,0.7434811715481172,0.07109623430962343,0.05320502092050209,0.1322175732217573,1.0,0.7222461773648451,0.5936747979988978,0
92,Second by Mikkelson,2.627280334728033,0.8410209205020921,17.0,1.0,0.7796150627615063,0.061405857740585774,0.03293723849372385,0.12604184100418409,1.0,0.788410353851076,0.4557242413697721,0.1974734236477864
93,Second by Eatherley,2.6238493723849374,0.8888702928870292,0.0,1.0,0.8041506276150628,0.08471966527196653,0.025623430962343093,0.08550627615062761,1.0,0.5287528928527174,1.0,0.37311676414441164
94,Soft Go By Majority: 10,2.6236820083682004,0.8533556485355649,11.0,1.0,0.7817573221757322,0.07159832635983264,0.031464435146443516,0.11517991631799163,1.0,0.7705269573723061,0.6936590595296792,0
95,Firm But Fair,2.620669456066946,0.8634979079497908,0.0,1.0,0.7491548117154812,0.11434309623430962,0.059246861924686194,0.077255230125523,1.0,0,1.0,0.6795612340528946
96,Second by Leyvraz,2.6195815899581594,0.8532719665271966,14.0,1.0,0.7586276150627616,0.09464435146443514,0.04776569037656904,0.09896234309623432,0.9375985399028943,0.45629051241632046,0.8053532840304453,0.5209191806890682
97,VeryBad,2.614728033472803,0.8450209205020921,10.0,1.0,0.7807196652719666,0.06430125523012552,0.02870292887029289,0.12627615062761507,0.9998569794050343,0.7745227358840329,0.7355618022928283,0
98,Dynamic Two Tits For Tat,2.6122175732217574,0.8482677824267782,7.0,1.0,0.7707280334728034,0.07753974895397489,0.03680334728033473,0.11492887029288702,0.9605839859068168,0.5303065891283603,0.6521466824794117,0.3876487479028987
99,Meta Majority Memory One: 37 players,2.611297071129707,0.7772887029288703,30.0,1.0,0.7223598326359832,0.05492887029288703,0.05673640167364017,0.16597489539748952,0.9957881786274405,0.05101332825563604,0.8842159417159456,0.031714178261947286
100,AdaptorLong,2.6080334728033474,0.610928870292887,82.0,0.9916317991631799,0.5311799163179917,0.0797489539748954,0.15496234309623433,0.23410878661087867,0.9726447449477751,0.06658604284837222,0.03988223806370634,0.3574779176968739
101,Soft Go By Majority: 20,2.607531380753138,0.8497907949790795,10.0,1.0,0.7730878661087867,0.0767029288702929,0.034410041841004185,0.11579916317991631,1.0,0.775408978470778,0.7124943848266669,0
102,Second by Yamachi,2.6001673640167366,0.831765690376569,12.0,1.0,0.7598326359832636,0.07193305439330544,0.03841004184100418,0.12982426778242678,0.9346843244144277,0.7501769294626439,0.738097713035373,0.3479446613616077
103,Slow Tit For Two Tats 2,2.598828451882845,0.8310292887029289,12.0,1.0,0.7685523012552301,0.062476987447698744,0.03094560669456067,0.13802510460251047,1.0,0.7568572155692815,0.3958602188955961,0
104,Hard Tit For Tat,2.597907949790795,0.6697071129707113,74.0,1.0,0.6491548117154812,0.020552301255230124,0.07902928870292886,0.2512635983263598,1.0,0,0.26223406305635166,0
105,ShortMem,2.5977405857740585,0.8542259414225941,0.0,1.0,0.7747949790794979,0.07943096234309624,0.03176569037656904,0.11400836820083682,0.9999489066012671,0.7930122403012954,0.7611738969555313,0
106,Hard Tit For 2 Tats,2.594979079497908,0.8541087866108786,0.0,1.0,0.7830627615062761,0.0710460251046025,0.024803347280334728,0.12108786610878662,1.0,0.7179153504854513,0.40403655222998763,0.33606773266638845
107,AdaptorBrief,2.5948953974895397,0.7252552301255231,59.0,0.9899581589958159,0.6594811715481171,0.06577405857740586,0.08555648535564854,0.18918828451882846,0.9804204048287998,0.4416441860272956,0.779489311746368,0.1252082103899647
108,Soft Go By Majority: 40,2.5943933054393304,0.8434811715481172,13.0,1.0,0.7575899581589958,0.08589121338912134,0.04147280334728034,0.1150460251046025,1.0,0.7802305946109761,0.701167733731185,0
109,Soft Go By Majority,2.5940585774058578,0.8316485355648535,16.0,1.0,0.7473305439330544,0.08431799163179916,0.04686192468619246,0.12148953974895398,1.0,0.8373762554734695,0.7284482898754029,0
110,"ZD-GEN-2: 0.125, 0.5, 3",2.5937238493723846,0.8524351464435146,10.0,1.0,0.7670125523012552,0.08542259414225942,0.03907949790794979,0.10848535564853556,1.0,0.5393676471813662,0.5720281628955305,0.14580126130580714
111,"N Tit(s) For M Tat(s): 3, 2",2.5936401673640166,0.8216234309623431,19.0,1.0,0.7587615062761506,0.06286192468619248,0.034359832635983266,0.14401673640167365,1.0,0.7294012652092112,0.2794984063572068,0.1854428054396155
112,Inverse,2.5935564853556485,0.7080334728033473,69.0,1.0,0.6710292887029289,0.037004184100418405,0.07010878661087866,0.22185774058577407,0.9549706051927614,0,0.5790701583608087,0
113,Second by Appold,2.5931380753138074,0.8306108786610878,17.0,1.0,0.7437154811715481,0.08689539748953976,0.04738075313807531,0.12200836820083683,0.928873024266491,0.6127081268372968,0.7259523983177395,0.3258362633315789
114,Second by White,2.591715481171548,0.8791799163179916,0.0,1.0,0.7930041841004184,0.08617573221757323,0.024334728033472804,0.09648535564853555,1.0,0.8102637991858432,1.0,0
115,Delayed AON1,2.5888702928870293,0.7904435146443515,26.0,1.0,0.6675983263598327,0.12284518828451882,0.09364016736401673,0.1159163179916318,0.9959982031317997,0.17108105516522568,0,1.0
116,"Grumpy: Nice, 10, -10",2.5830962343096235,0.8957154811715481,11.0,1.0,0.7837154811715481,0.112,0.031615062761506274,0.0726694560669456,1.0,0.9731317727197215,0.043162055335968376,0
117,Nice Average Copier,2.5829288702928874,0.8054728033472803,23.0,1.0,0.7234979079497907,0.08197489539748953,0.055347280334728036,0.13917991631799165,0.8951766039561683,0.5323547713055881,0.6025955212138839,0.43223410652598077
118,Second by Champion,2.5806694560669454,0.8824267782426778,0.0,1.0,0.7847029288702929,0.09772384937238494,0.02694560669456067,0.09062761506276151,1.0,0.7006434868890025,1.0,0.17478447955756068
119,Two Tits For Tat,2.580334728033473,0.6928702928870293,72.0,1.0,0.6627112970711297,0.03015899581589958,0.0709121338912134,0.2362175732217573,1.0,0,0.3963592826083745,0
120,Second by Black,2.579916317991632,0.8753138075313808,0.0,1.0,0.789907949790795,0.08540585774058577,0.02113807531380753,0.10354811715481171,0.9769744914282081,0.7736447204704583,0.7319408720213006,0.2905629705945103
121,Worse and Worse 3,2.57581589958159,0.8022594142259414,26.0,1.0,0.7205188284518829,0.08174058577405859,0.057707112970711294,0.1400334728033473,0.8962402776715225,0.5327871115942774,0.6253234972215811,0.4042249178586897
122,Win-Stay Lose-Shift,2.5749790794979077,0.7929205020920502,22.0,1.0,0.6698410041841004,0.1230794979079498,0.0890376569037657,0.1180418410041841,1.0,0,0,1.0
123,Tit For 2 Tats,2.5723849372384935,0.873071129707113,0.0,1.0,0.7899414225941422,0.0831297071129707,0.018677824267782427,0.1082510460251046,1.0,0.7550687298160332,1.0,0
124,Appeaser,2.5682008368200835,0.7904937238493723,22.0,1.0,0.6664937238493724,0.124,0.09064435146443516,0.11886192468619247,1.0,0,0,1.0
125,First by Grofman,2.5677824267782428,0.887949790794979,12.0,1.0,0.7661255230125523,0.12182426778242678,0.0405020920502092,0.07154811715481173,1.0,0.29946111982530044,0.32414489075354025,1.0
126,Math Constant Hunter,2.5658577405857743,0.8396652719665272,39.0,1.0,0.689723849372385,0.14994142259414225,0.08393305439330544,0.07640167364016737,0.9095234698163138,0.8466922271806064,0.16743717030551014,0.4326089454150806
127,Thumper,2.564267782426778,0.7164016736401674,50.0,1.0,0.6775230125523013,0.038878661087866105,0.06257740585774059,0.22102092050209204,1.0,0,0.60008163524038,0
128,Second by Tranquilizer,2.5484518828451885,0.7570376569037657,67.0,1.0,0.6574560669456068,0.099581589958159,0.08286192468619247,0.16010041841004186,0.9324115746856797,0.567672217644433,0.9679118889733802,0.4105922572038828
129,Eventual Cycle Hunter,2.504518828451883,0.8994142259414226,16.0,1.0,0.7463096234309623,0.15310460251046024,0.041556485355648536,0.059029288702928874,0.9950709092720785,0.9760475551584157,0.10953600316511342,0.13930471969319086
130,Worse and Worse 2,2.475899581589958,0.6873138075313807,109.0,1.0,0.5123012552301255,0.17501255230125523,0.15631799163179916,0.15636820083682007,0.8406034796574521,0.48989589366551156,0.6429746022060312,0.45020055967746586
